Run,Outlier1,Outlier2,Outlier3,Outlier4
1,303117826,303589509.0,303580965.0,302525939.0
2,302331096,,,
3,302675656,,,
4,303002654,,,
5,302850881,,,
6,302802712,302833976.0,,
7,302978997,302906877.0,,
8,303094396,302525939.0,,
9,302850881,,,
10,303067371,,,
11,303091263,,,
12,302692470,302396479.0,302625438.0,
13,302805012,,,
14,302331096,,,
15,302978997,302906877.0,,
16,303580965,303117826.0,,
17,303091263,,,
18,303828569,,,
19,302805012,,,
20,303828569,,,
21,303580965,303589509.0,303117826.0,
22,303091263,,,
23,303091263,,,
24,302871614,,,
25,302525939,,,
26,303438387,,,
27,303172197,,,
28,303880165,,,
29,303580033,,,
30,303303126,,,
31,302871614,,,
32,302409013,,,
33,303580965,303589509.0,303117826.0,
34,302913856,,,
35,303091263,,,
36,303410298,302820112.0,,
37,302391204,,,
38,303030152,,,
39,302850881,,,
40,302871614,,,
41,303437820,,,
42,302401313,,,
43,302331096,,,
44,303030152,,,
45,303117826,303580965.0,302525939.0,
46,303245761,,,
47,302352893,,,
48,303751517,,,
49,302331096,,,
50,303094396,,,
51,303117826,303589509.0,303580965.0,302525939.0
52,302352893,,,
53,303580033,,,
54,302913856,,,
55,302978997,302906877.0,,
56,302802712,,,
57,302816163,,,
58,302692470,302396479.0,302625438.0,
59,303117826,302525939.0,303580965.0,
60,302990500,,,
61,302382289,,,
62,302331096,,,
63,303117826,303589509.0,302525939.0,
64,302906877,302978997.0,,
65,303002654,,,
66,302692470,302396479.0,302625438.0,
67,303580965,303589509.0,303117826.0,
68,303580965,303589509.0,303117826.0,
69,302744886,302842902.0,,
70,302692470,302396479.0,302625438.0,
71,302692470,302396479.0,302625438.0,
72,302906877,302978997.0,,
73,303030152,,,
74,302456998,,,
75,302456998,,,
76,303580965,303589509.0,,
77,302464930,,,
78,303091263,,,
79,302990500,302352893.0,,
80,303172197,,,
81,303580033,,,
82,303067371,,,
83,302802712,302833976.0,,
84,303580965,303589509.0,,
85,302625438,302692470.0,,
86,303828569,,,
87,303529266,,,
88,302391204,,,
89,302842902,302744886.0,,
90,302625438,303002654.0,302464930.0,302396479.0
91,302906877,302978997.0,,
92,302805012,,,
93,302978997,302906877.0,,
94,302906877,302978997.0,,
95,303410298,302820112.0,,
96,302464930,,,
97,303117826,303589509.0,303580965.0,302525939.0
98,303580965,303117826.0,,
99,302409013,,,
100,303141620,,,
